ID,Pred
2026_1101_1312,0.758156
2026_1101_1313,0.728212
2026_1101_1314,0.025
2026_1101_1315,0.636093
2026_1101_1316,0.860961
2026_1101_1317,0.226455
2026_1101_1318,0.771741
2026_1101_1319,0.772031
2026_1101_1320,0.198557
2026_1101_1321,0.136193
2026_1101_1322,0.721521
2026_1101_1323,0.151362
2026_1101_1324,0.34875
2026_1101_1325,0.495602
2026_1101_1326,0.034417
2026_1101_1328,0.08922
2026_1101_1329,0.063137
2026_1101_1330,0.581172
2026_1101_1331,0.796001
2026_1101_1332,0.181427
2026_1101_1333,0.307443
2026_1101_1334,0.363696
2026_1101_1335,0.311816
2026_1101_1336,0.181235
2026_1101_1337,0.703159
2026_1101_1338,0.242488
2026_1101_1339,0.410843
2026_1101_1340,0.330066
2026_1101_1341,0.81938
2026_1101_1342,0.658601
2026_1101_1343,0.70981
2026_1101_1344,0.156838
2026_1101_1345,0.025
2026_1101_1346,0.340269
2026_1101_1347,0.591053
2026_1101_1348,0.276586
2026_1101_1349,0.504617
2026_1101_1350,0.365473
2026_1101_1351,0.915912
2026_1101_1352,0.317251
2026_1101_1353,0.245026
2026_1101_1354,0.901534
2026_1101_1355,0.584336
2026_1101_1356,0.342824
2026_1101_1357,0.610686
2026_1101_1358,0.238186
2026_1101_1359,0.532926
2026_1101_1360,0.587382
2026_1101_1361,0.049486
2026_1101_1362,0.244727
2026_1101_1363,0.618596
2026_1101_1364,0.335333
2026_1101_1365,0.040789
2026_1101_1367,0.646117
2026_1101_1368,0.742601
2026_1101_1369,0.477753
2026_1101_1370,0.250684
2026_1101_1371,0.077731
2026_1101_1372,0.127733
2026_1101_1373,0.32911
2026_1101_1374,0.025
2026_1101_1375,0.338653
2026_1101_1376,0.213815
2026_1101_1377,0.633004
2026_1101_1378,0.172907
2026_1101_1379,0.39693
2026_1101_1380,0.617599
2026_1101_1381,0.730998
2026_1101_1382,0.286702
2026_1101_1384,0.929007
2026_1101_1385,0.025
2026_1101_1386,0.257231
2026_1101_1387,0.025
2026_1101_1388,0.025
2026_1101_1389,0.463907
2026_1101_1390,0.113006
2026_1101_1391,0.823244
2026_1101_1392,0.458721
2026_1101_1393,0.115205
2026_1101_1394,0.414014
2026_1101_1395,0.045393
2026_1101_1396,0.408336
2026_1101_1397,0.025
2026_1101_1398,0.425492
2026_1101_1399,0.741996
2026_1101_1400,0.051537
2026_1101_1401,0.032016
2026_1101_1402,0.451205
2026_1101_1403,0.025
2026_1101_1404,0.310964
2026_1101_1405,0.30525
2026_1101_1406,0.339967
2026_1101_1407,0.215318
2026_1101_1408,0.236113
2026_1101_1409,0.169078
2026_1101_1410,0.3538
2026_1101_1411,0.863096
2026_1101_1412,0.230676
2026_1101_1413,0.301157
2026_1101_1414,0.211428
2026_1101_1415,0.685343
2026_1101_1416,0.026198
2026_1101_1417,0.027084
2026_1101_1418,0.744072
2026_1101_1419,0.945116
2026_1101_1420,0.718245
2026_1101_1421,0.515852
2026_1101_1422,0.658458
2026_1101_1423,0.206422
2026_1101_1424,0.240671
2026_1101_1425,0.029357
2026_1101_1426,0.308758
2026_1101_1427,0.884884
2026_1101_1428,0.19964
2026_1101_1429,0.025
2026_1101_1430,0.16476
2026_1101_1431,0.622946
2026_1101_1433,0.044549
2026_1101_1434,0.302624
2026_1101_1435,0.025
2026_1101_1436,0.414798
2026_1101_1437,0.025
2026_1101_1438,0.025
2026_1101_1439,0.054385
2026_1101_1440,0.882959
2026_1101_1441,0.653428
2026_1101_1442,0.956033
2026_1101_1443,0.307931
2026_1101_1444,0.707143
2026_1101_1447,0.867742
2026_1101_1448,0.082524
2026_1101_1449,0.077401
2026_1101_1450,0.419023
2026_1101_1451,0.551223
2026_1101_1452,0.09738
2026_1101_1453,0.439929
2026_1101_1454,0.568576
2026_1101_1455,0.174048
2026_1101_1456,0.271863
2026_1101_1457,0.214404
2026_1101_1458,0.025
2026_1101_1459,0.413779
2026_1101_1460,0.275968
2026_1101_1461,0.258149
2026_1101_1462,0.14182
2026_1101_1463,0.106472
2026_1101_1464,0.514969
2026_1101_1465,0.204348
2026_1101_1466,0.783221
2026_1101_1467,0.241703
2026_1101_1468,0.663698
2026_1101_1469,0.333042
2026_1101_1470,0.570048
2026_1101_1471,0.20641
2026_1101_1472,0.262284
2026_1101_1473,0.529542
2026_1101_1474,0.413832
2026_1101_1475,0.913913
2026_1101_1476,0.878614
2026_1101_1477,0.671046
2026_1101_1478,0.747725
2026_1101_1479,0.754569
2026_1101_1480,0.661267
2026_1101_1481,0.788292
2026_1102_1103,0.025
2026_1102_1104,0.025
2026_1102_1105,0.158267
2026_1102_1106,0.239751
2026_1102_1107,0.370593
2026_1102_1108,0.488608
2026_1102_1110,0.100867
2026_1102_1111,0.035021
2026_1102_1112,0.025
2026_1102_1113,0.025
2026_1102_1114,0.227778
2026_1102_1115,0.220376
2026_1102_1116,0.025
2026_1102_1117,0.025
2026_1102_1119,0.468128
2026_1102_1120,0.025
2026_1102_1122,0.025
2026_1102_1123,0.293997
2026_1102_1124,0.025
2026_1102_1125,0.025
2026_1102_1126,0.063666
2026_1102_1127,0.681835
2026_1102_1129,0.025
2026_1102_1130,0.063242
2026_1102_1131,0.099064
2026_1102_1132,0.025
2026_1102_1133,0.025
2026_1102_1135,0.242882
2026_1102_1136,0.419166
2026_1102_1137,0.265448
2026_1102_1138,0.050089
2026_1102_1139,0.025
2026_1102_1140,0.025
2026_1102_1141,0.230706
2026_1102_1142,0.148081
2026_1102_1143,0.025
2026_1102_1144,0.064829
2026_1102_1145,0.472442
2026_1102_1146,0.041987
2026_1102_1148,0.087907
2026_1102_1149,0.120954
2026_1102_1150,0.037299
2026_1102_1151,0.179964
2026_1102_1152,0.655118
2026_1102_1153,0.025
2026_1102_1154,0.591029
2026_1102_1155,0.025
2026_1102_1156,0.212082
2026_1102_1157,0.057738
2026_1102_1158,0.028145
2026_1102_1159,0.086247
2026_1102_1160,0.025
2026_1102_1161,0.025
2026_1102_1162,0.025
2026_1102_1163,0.025
2026_1102_1164,0.552851
2026_1102_1165,0.044062
2026_1102_1166,0.025
2026_1102_1167,0.36436
2026_1102_1168,0.051997
2026_1102_1169,0.035475
2026_1102_1170,0.288744
2026_1102_1171,0.143973
2026_1102_1172,0.025
2026_1102_1173,0.025
2026_1102_1174,0.197164
2026_1102_1175,0.675338
2026_1102_1176,0.119113
2026_1102_1177,0.025
2026_1102_1178,0.141672
2026_1102_1179,0.062219
2026_1102_1180,0.068208
2026_1102_1181,0.025
2026_1102_1182,0.025
2026_1102_1183,0.279132
2026_1102_1184,0.211287
2026_1102_1185,0.159245
2026_1102_1186,0.116986
2026_1102_1187,0.146597
2026_1102_1188,0.069523
2026_1102_1189,0.083842
2026_1102_1190,0.025
2026_1102_1191,0.303675
2026_1102_1192,0.683589
2026_1102_1193,0.067799
2026_1102_1194,0.025
2026_1102_1195,0.088971
2026_1102_1196,0.025
2026_1102_1197,0.342116
2026_1102_1198,0.090867
2026_1102_1199,0.025
2026_1102_1200,0.047934
2026_1102_1201,0.032481
2026_1102_1202,0.037499
2026_1102_1203,0.025
2026_1102_1204,0.09717
2026_1102_1205,0.537214
2026_1102_1206,0.025
2026_1102_1207,0.025
2026_1102_1208,0.025
2026_1102_1209,0.25218
2026_1102_1210,0.027458
2026_1102_1211,0.025
2026_1102_1212,0.166323
2026_1102_1213,0.025
2026_1102_1214,0.15599
2026_1102_1217,0.026721
2026_1102_1218,0.025
2026_1102_1219,0.025
2026_1102_1220,0.025
2026_1102_1221,0.426284
2026_1102_1222,0.025
2026_1102_1223,0.238682
2026_1102_1224,0.065098
2026_1102_1225,0.053189
2026_1102_1226,0.139539
2026_1102_1227,0.025
2026_1102_1228,0.025
2026_1102_1229,0.025
2026_1102_1230,0.176788
2026_1102_1231,0.025
2026_1102_1232,0.132263
2026_1102_1233,0.044867
2026_1102_1234,0.025
2026_1102_1235,0.025
2026_1102_1236,0.071846
2026_1102_1237,0.460275
2026_1102_1238,0.40364
2026_1102_1239,0.203999
2026_1102_1240,0.094379
2026_1102_1241,0.042472
2026_1102_1242,0.025
2026_1102_1243,0.025
2026_1102_1244,0.025
2026_1102_1245,0.025
2026_1102_1246,0.025
2026_1102_1247,0.208323
2026_1102_1248,0.399186
2026_1102_1249,0.178957
2026_1102_1250,0.144453
2026_1102_1251,0.025
2026_1102_1252,0.029496
2026_1102_1253,0.221236
2026_1102_1254,0.040433
2026_1102_1255,0.126208
2026_1102_1256,0.051885
2026_1102_1257,0.025
2026_1102_1258,0.025712
2026_1102_1259,0.420016
2026_1102_1260,0.192542
2026_1102_1261,0.025
2026_1102_1262,0.191422
2026_1102_1263,0.619746
2026_1102_1264,0.200477
2026_1102_1265,0.029516
2026_1102_1266,0.025
2026_1102_1267,0.02885
2026_1102_1268,0.025
2026_1102_1269,0.044989
2026_1102_1270,0.025
2026_1102_1271,0.567618
2026_1102_1272,0.025
2026_1102_1273,0.025804
2026_1102_1274,0.025
2026_1102_1275,0.025
2026_1102_1276,0.025
2026_1102_1277,0.025
2026_1102_1278,0.025
2026_1102_1279,0.025
2026_1102_1280,0.025
2026_1102_1281,0.025
2026_1102_1282,0.593489
2026_1102_1283,0.092945
2026_1102_1284,0.049631
2026_1102_1285,0.088918
2026_1102_1286,0.034803
2026_1102_1287,0.125965
2026_1102_1288,0.675254
2026_1102_1290,0.536659
2026_1102_1291,0.111797
2026_1102_1292,0.025625
2026_1102_1293,0.025
2026_1102_1294,0.025
2026_1102_1295,0.025
2026_1102_1296,0.236728
2026_1102_1297,0.039608
2026_1102_1298,0.034439
2026_1102_1299,0.19294
2026_1102_1300,0.656173
2026_1102_1301,0.025
2026_1102_1303,0.127426
2026_1102_1304,0.025
2026_1102_1305,0.025
2026_1102_1306,0.529309
2026_1102_1307,0.025
2026_1102_1308,0.028931
2026_1102_1309,0.079177
2026_1102_1310,0.665018
2026_1102_1311,0.120988
2026_1102_1312,0.263919
2026_1102_1313,0.191207
2026_1102_1314,0.025
2026_1102_1315,0.128703
2026_1102_1316,0.602405
2026_1102_1317,0.025
2026_1102_1318,0.246054
2026_1102_1319,0.253782
2026_1102_1320,0.025
2026_1102_1321,0.025
2026_1102_1322,0.260823
2026_1102_1323,0.025
2026_1102_1324,0.045053
2026_1102_1325,0.070717
2026_1102_1326,0.025
2026_1102_1328,0.025
2026_1102_1329,0.025
2026_1102_1330,0.161862
2026_1102_1331,0.301144
2026_1102_1332,0.025
2026_1102_1333,0.041767
2026_1102_1334,0.025
2026_1102_1335,0.038308
2026_1102_1336,0.025
2026_1102_1337,0.264938
2026_1102_1338,0.025
2026_1102_1339,0.069812
2026_1102_1340,0.026755
2026_1102_1341,0.408878
2026_1102_1342,0.150056
2026_1102_1343,0.216442
2026_1102_1344,0.025
2026_1102_1345,0.025
2026_1102_1346,0.031662
2026_1102_1347,0.107634
2026_1102_1348,0.025
2026_1102_1349,0.128171
2026_1102_1350,0.025
2026_1102_1351,0.597802
2026_1102_1352,0.025
2026_1102_1353,0.025
2026_1102_1354,0.624237
2026_1102_1355,0.079945
2026_1102_1356,0.025
2026_1102_1357,0.143583
2026_1102_1358,0.025
2026_1102_1359,0.044795
2026_1102_1360,0.147362
2026_1102_1361,0.025
2026_1102_1362,0.025
2026_1102_1363,0.193509
2026_1102_1364,0.025
2026_1102_1365,0.025
2026_1102_1367,0.15959
2026_1102_1368,0.262669
2026_1102_1369,0.047534
2026_1102_1370,0.025
2026_1102_1371,0.025
2026_1102_1372,0.025
2026_1102_1373,0.034126
2026_1102_1374,0.025
2026_1102_1375,0.029924
2026_1102_1376,0.025
2026_1102_1377,0.164797
2026_1102_1378,0.025
2026_1102_1379,0.053871
2026_1102_1380,0.131136
2026_1102_1381,0.225607
2026_1102_1382,0.025
2026_1102_1384,0.626258
2026_1102_1385,0.025
2026_1102_1386,0.030853
2026_1102_1387,0.025
2026_1102_1388,0.025
2026_1102_1389,0.042827
2026_1102_1390,0.025
2026_1102_1391,0.450347
2026_1102_1392,0.046839
2026_1102_1393,0.025
2026_1102_1394,0.068652
2026_1102_1395,0.025
2026_1102_1396,0.025
2026_1102_1397,0.025
2026_1102_1398,0.033392
2026_1102_1399,0.1783
2026_1102_1400,0.025
2026_1102_1401,0.025
2026_1102_1402,0.045434
2026_1102_1403,0.025
2026_1102_1404,0.028865
2026_1102_1405,0.033286
2026_1102_1406,0.033409
2026_1102_1407,0.025
2026_1102_1408,0.038338
2026_1102_1409,0.025
2026_1102_1410,0.038289
2026_1102_1411,0.363212
2026_1102_1412,0.025
2026_1102_1413,0.030756
2026_1102_1414,0.025
2026_1102_1415,0.181729
2026_1102_1416,0.025
2026_1102_1417,0.025
2026_1102_1418,0.211922
2026_1102_1419,0.584219
2026_1102_1420,0.059231
2026_1102_1421,0.124899
2026_1102_1422,0.139625
2026_1102_1423,0.025
2026_1102_1424,0.025
2026_1102_1425,0.025
2026_1102_1426,0.026605
2026_1102_1427,0.486793
2026_1102_1428,0.025
2026_1102_1429,0.025
2026_1102_1430,0.025
2026_1102_1431,0.157947
2026_1102_1433,0.025
2026_1102_1434,0.034758
2026_1102_1435,0.025
2026_1102_1436,0.036396
2026_1102_1437,0.025
2026_1102_1438,0.025
2026_1102_1439,0.025
2026_1102_1440,0.519277
2026_1102_1441,0.128487
2026_1102_1442,0.50917
2026_1102_1443,0.025
2026_1102_1444,0.196511
2026_1102_1447,0.388354
2026_1102_1448,0.025
2026_1102_1449,0.025
2026_1102_1450,0.035202
2026_1102_1451,0.090129
2026_1102_1452,0.025
2026_1102_1453,0.111044
2026_1102_1454,0.151317
2026_1102_1455,0.025
2026_1102_1456,0.025
2026_1102_1457,0.025
2026_1102_1458,0.025
2026_1102_1459,0.044951
2026_1102_1460,0.025
2026_1102_1461,0.025
2026_1102_1462,0.025
2026_1102_1463,0.025
2026_1102_1464,0.077223
2026_1102_1465,0.025
2026_1102_1466,0.33317
2026_1102_1467,0.038789
2026_1102_1468,0.221214
2026_1102_1469,0.042849
2026_1102_1470,0.074007
2026_1102_1471,0.025
2026_1102_1472,0.025
2026_1102_1473,0.093846
2026_1102_1474,0.041836
2026_1102_1475,0.581937
2026_1102_1476,0.649503
2026_1102_1477,0.189306
2026_1102_1478,0.08773
2026_1102_1479,0.119132
2026_1102_1480,0.185661
2026_1102_1481,0.329058
2026_1103_1104,0.29835
2026_1103_1105,0.975
2026_1103_1106,0.975
2026_1103_1107,0.975
2026_1103_1108,0.975
2026_1103_1110,0.941356
2026_1103_1111,0.841203
2026_1103_1112,0.084539
2026_1103_1113,0.609826
2026_1103_1114,0.975
2026_1103_1115,0.975
2026_1103_1116,0.21538
2026_1103_1117,0.801387
2026_1103_1119,0.975
2026_1103_1120,0.289591
2026_1103_1122,0.813151
2026_1103_1123,0.975
2026_1103_1124,0.436509
2026_1103_1125,0.545461
2026_1103_1126,0.895236
2026_1103_1127,0.975
2026_1103_1129,0.62153
2026_1103_1130,0.868127
2026_1103_1131,0.9521
2026_1103_1132,0.825508
2026_1103_1133,0.767503
2026_1103_1135,0.975
2026_1103_1136,0.975
2026_1103_1137,0.975
2026_1103_1138,0.847406
2026_1103_1139,0.540852
2026_1103_1140,0.221263
2026_1103_1141,0.975
2026_1103_1142,0.895796
2026_1103_1143,0.409574
2026_1103_1144,0.901589
2026_1103_1145,0.975
2026_1103_1146,0.86683
2026_1103_1148,0.933165
2026_1103_1149,0.934202
2026_1103_1150,0.841206
2026_1103_1151,0.966808
2026_1103_1152,0.975
2026_1103_1153,0.63907
2026_1103_1154,0.975
2026_1103_1155,0.269896
2026_1103_1156,0.975
2026_1103_1157,0.845748
2026_1103_1158,0.733502
2026_1103_1159,0.928262
2026_1103_1160,0.500695
2026_1103_1161,0.688523
2026_1103_1162,0.852151
2026_1103_1163,0.150908
2026_1103_1164,0.975
2026_1103_1165,0.88672
2026_1103_1166,0.605541
2026_1103_1167,0.975
2026_1103_1168,0.898768
2026_1103_1169,0.853887
2026_1103_1170,0.975
2026_1103_1171,0.960301
2026_1103_1172,0.784504
2026_1103_1173,0.66276
2026_1103_1174,0.975
2026_1103_1175,0.975
2026_1103_1176,0.948912
2026_1103_1177,0.685305
2026_1103_1178,0.955053
2026_1103_1179,0.911533
2026_1103_1180,0.918817
2026_1103_1181,0.089775
2026_1103_1182,0.809643
2026_1103_1183,0.975
2026_1103_1184,0.975
2026_1103_1185,0.934739
2026_1103_1186,0.937776
2026_1103_1187,0.955673
2026_1103_1188,0.916481
2026_1103_1189,0.926327
2026_1103_1190,0.800547
2026_1103_1191,0.975
2026_1103_1192,0.975
2026_1103_1193,0.92418
2026_1103_1194,0.796917
2026_1103_1195,0.931089
2026_1103_1196,0.290327
2026_1103_1197,0.975
2026_1103_1198,0.915791
2026_1103_1199,0.691318
2026_1103_1200,0.884434
2026_1103_1201,0.875659
2026_1103_1202,0.862462
2026_1103_1203,0.805758
2026_1103_1204,0.902294
2026_1103_1205,0.975
2026_1103_1206,0.50157
2026_1103_1207,0.695444
2026_1103_1208,0.428793
2026_1103_1209,0.975
2026_1103_1210,0.860313
2026_1103_1211,0.128093
2026_1103_1212,0.975
2026_1103_1213,0.604161
2026_1103_1214,0.929248
2026_1103_1217,0.808657
2026_1103_1218,0.766567
2026_1103_1219,0.651456
2026_1103_1220,0.687203
2026_1103_1221,0.975
2026_1103_1222,0.144433
2026_1103_1223,0.975
2026_1103_1224,0.940076
2026_1103_1225,0.892159
2026_1103_1226,0.944215
2026_1103_1227,0.856169
2026_1103_1228,0.285231
2026_1103_1229,0.714335
2026_1103_1230,0.970409
2026_1103_1231,0.363603
2026_1103_1232,0.923394
2026_1103_1233,0.890952
2026_1103_1234,0.282219
2026_1103_1235,0.159108
2026_1103_1236,0.923109
2026_1103_1237,0.975
2026_1103_1238,0.975
2026_1103_1239,0.975
2026_1103_1240,0.909672
2026_1103_1241,0.876959
2026_1103_1242,0.212837
2026_1103_1243,0.671031
2026_1103_1244,0.829217
2026_1103_1245,0.778646
2026_1103_1246,0.229214
2026_1103_1247,0.931494
2026_1103_1248,0.975
2026_1103_1249,0.94939
2026_1103_1250,0.975
2026_1103_1251,0.429123
2026_1103_1252,0.851329
2026_1103_1253,0.975
2026_1103_1254,0.794485
2026_1103_1255,0.933225
2026_1103_1256,0.876563
2026_1103_1257,0.362357
2026_1103_1258,0.860298
2026_1103_1259,0.975
2026_1103_1260,0.975
2026_1103_1261,0.37006
2026_1103_1262,0.975
2026_1103_1263,0.975
2026_1103_1264,0.975
2026_1103_1265,0.866018
2026_1103_1266,0.834863
2026_1103_1267,0.80929
2026_1103_1268,0.797534
2026_1103_1269,0.899514
2026_1103_1270,0.568226
2026_1103_1271,0.975
2026_1103_1272,0.832947
2026_1103_1273,0.848314
2026_1103_1274,0.383506
2026_1103_1275,0.406078
2026_1103_1276,0.129612
2026_1103_1277,0.257973
2026_1103_1278,0.635978
2026_1103_1279,0.634889
2026_1103_1280,0.587188
2026_1103_1281,0.29751
2026_1103_1282,0.975
2026_1103_1283,0.930062
2026_1103_1284,0.892375
2026_1103_1285,0.919679
2026_1103_1286,0.896752
2026_1103_1287,0.975
2026_1103_1288,0.975
2026_1103_1290,0.975
2026_1103_1291,0.966215
2026_1103_1292,0.84356
2026_1103_1293,0.678271
2026_1103_1294,0.828825
2026_1103_1295,0.75321
2026_1103_1296,0.975
2026_1103_1297,0.89717
2026_1103_1298,0.811362
2026_1103_1299,0.975
2026_1103_1300,0.975
2026_1103_1301,0.31464
2026_1103_1303,0.934184
2026_1103_1304,0.221704
2026_1103_1305,0.664767
2026_1103_1306,0.975
2026_1103_1307,0.539926
2026_1103_1308,0.912722
2026_1103_1309,0.888806
2026_1103_1310,0.975
2026_1103_1311,0.93191
2026_1103_1312,0.975
2026_1103_1313,0.975
2026_1103_1314,0.248928
2026_1103_1315,0.975
2026_1103_1316,0.975
2026_1103_1317,0.781732
2026_1103_1318,0.975
2026_1103_1319,0.975
2026_1103_1320,0.6691
2026_1103_1321,0.632969
2026_1103_1322,0.975
2026_1103_1323,0.664945
2026_1103_1324,0.870059
2026_1103_1325,0.907034
2026_1103_1326,0.407977
2026_1103_1328,0.60355
2026_1103_1329,0.440024
2026_1103_1330,0.955123
2026_1103_1331,0.975
2026_1103_1332,0.677757
2026_1103_1333,0.833239
2026_1103_1334,0.847561
2026_1103_1335,0.840376
2026_1103_1336,0.812618
2026_1103_1337,0.975
2026_1103_1338,0.834001
2026_1103_1339,0.873383
2026_1103_1340,0.822326
2026_1103_1341,0.975
2026_1103_1342,0.943152
2026_1103_1343,0.973231
2026_1103_1344,0.710911
2026_1103_1345,0.132222
2026_1103_1346,0.807882
2026_1103_1347,0.921931
2026_1103_1348,0.711558
2026_1103_1349,0.932983
2026_1103_1350,0.841835
2026_1103_1351,0.975
2026_1103_1352,0.860794
2026_1103_1353,0.79473
2026_1103_1354,0.975
2026_1103_1355,0.933926
2026_1103_1356,0.832807
2026_1103_1357,0.970747
2026_1103_1358,0.762696
2026_1103_1359,0.901854
2026_1103_1360,0.945975
2026_1103_1361,0.532889
2026_1103_1362,0.812576
2026_1103_1363,0.971218
2026_1103_1364,0.83239
2026_1103_1365,0.485038
2026_1103_1367,0.975
2026_1103_1368,0.975
2026_1103_1369,0.911061
2026_1103_1370,0.771806
2026_1103_1371,0.456292
2026_1103_1372,0.66544
2026_1103_1373,0.722207
2026_1103_1374,0.301726
2026_1103_1375,0.759956
2026_1103_1376,0.803416
2026_1103_1377,0.938906
2026_1103_1378,0.598653
2026_1103_1379,0.89809
2026_1103_1380,0.946879
2026_1103_1381,0.975
2026_1103_1382,0.838186
2026_1103_1384,0.975
2026_1103_1385,0.189759
2026_1103_1386,0.778889
2026_1103_1387,0.472738
2026_1103_1388,0.346581
2026_1103_1389,0.876632
2026_1103_1390,0.502115
2026_1103_1391,0.975
2026_1103_1392,0.890573
2026_1103_1393,0.626334
2026_1103_1394,0.926283
2026_1103_1395,0.412839
2026_1103_1396,0.820144
2026_1103_1397,0.320025
2026_1103_1398,0.883321
2026_1103_1399,0.975
2026_1103_1400,0.396148
2026_1103_1401,0.42912
2026_1103_1402,0.909073
2026_1103_1403,0.234761
2026_1103_1404,0.821148
2026_1103_1405,0.892008
2026_1103_1406,0.844417
